Heuristica,N,M,Replicacao,Tempo,Iteracoes,Valor,Parametro
mlsbb,31,10,1,0.0000,1000,1433,NA
mlsbb,31,10,2,0.0000,1000,1433,NA
mlsbb,31,10,3,0.0000,1000,1433,NA
mlsbb,31,10,4,0.0000,1000,1433,NA
mlsbb,31,10,5,0.0000,1000,1433,NA
mlsbb,31,10,6,0.0000,1000,1433,NA
mlsbb,31,10,7,0.0000,1000,1433,NA
mlsbb,31,10,8,0.0000,1000,1433,NA
mlsbb,31,10,9,0.0000,1000,1433,NA
mlsbb,31,10,10,0.0000,1000,1433,NA
mlsbb,31,10,1,0.0000,1000,1433,NA
mlsbb,31,10,2,0.0000,1000,1433,NA
mlsbb,31,10,3,0.0000,1000,1433,NA
mlsbb,31,10,4,0.0000,1000,1433,NA
mlsbb,31,10,5,0.0000,1000,1433,NA
mlsbb,31,10,6,0.0000,1000,1433,NA
mlsbb,31,10,7,0.0000,1000,1433,NA
mlsbb,31,10,8,0.0000,1000,1433,NA
mlsbb,31,10,9,0.0000,1000,1433,NA
mlsbb,31,10,10,0.0000,1000,1433,NA
mlsbb,31,10,1,0.0000,1000,1433,NA
mlsbb,31,10,2,0.0000,1000,1433,NA
mlsbb,31,10,3,0.0000,1000,1433,NA
mlsbb,31,10,4,0.0000,1000,1433,NA
mlsbb,31,10,5,0.0000,1000,1433,NA
mlsbb,31,10,6,0.0000,1000,1433,NA
mlsbb,31,10,7,0.0000,1000,1433,NA
mlsbb,31,10,8,0.0000,1000,1433,NA
mlsbb,31,10,9,0.0000,1000,1433,NA
mlsbb,31,10,10,0.0000,1000,1433,NA
mlsbb,31,10,1,0.0000,1000,1433,NA
mlsbb,31,10,2,0.0000,1000,1433,NA
mlsbb,31,10,3,0.0000,1000,1433,NA
mlsbb,31,10,4,0.0000,1000,1433,NA
mlsbb,31,10,5,0.0000,1000,1433,NA
mlsbb,31,10,6,0.0000,1000,1433,NA
mlsbb,31,10,7,0.0000,1000,1433,NA
mlsbb,31,10,8,0.0000,1000,1433,NA
mlsbb,31,10,9,0.0000,1000,1433,NA
mlsbb,31,10,10,0.0000,1000,1433,NA
mlsbb,31,10,1,0.0000,1000,1433,NA
mlsbb,31,10,2,0.0000,1000,1433,NA
mlsbb,31,10,3,0.0000,1000,1433,NA
mlsbb,31,10,4,0.0000,1000,1433,NA
mlsbb,31,10,5,0.0000,1000,1433,NA
mlsbb,31,10,6,0.0000,1000,1433,NA
mlsbb,31,10,7,0.0000,1000,1433,NA
mlsbb,31,10,8,0.0000,1000,1433,NA
mlsbb,31,10,9,0.0000,1000,1433,NA
mlsbb,31,10,10,0.0000,1000,1433,NA
mlsbb,31,10,1,0.0000,1000,1433,NA
mlsbb,31,10,2,0.0000,1000,1433,NA
mlsbb,31,10,3,0.0000,1000,1433,NA
mlsbb,31,10,4,0.0000,1000,1433,NA
mlsbb,31,10,5,0.0000,1000,1433,NA
mlsbb,31,10,6,0.0000,1000,1433,NA
mlsbb,31,10,7,0.0000,1000,1433,NA
