Heuristica,N,M,Replicacao,Tempo,Iteracoes,Valor,Parametro
nmlrs,31,10,1,0.0000,1000,185,0.1
nmlrs,31,10,2,0.0005,1000,188,0.1
nmlrs,31,10,3,0.0000,1000,170,0.1
nmlrs,31,10,4,0.0000,1000,203,0.1
nmlrs,31,10,5,0.0000,1000,203,0.1
nmlrs,31,10,6,0.0000,1000,179,0.1
nmlrs,31,10,7,0.0005,1000,185,0.1
nmlrs,31,10,8,0.0000,1000,183,0.1
nmlrs,31,10,9,0.0000,1000,241,0.1
nmlrs,31,10,10,0.0000,1000,183,0.1
nmlrs,31,10,1,0.0000,1000,168,0.2
nmlrs,31,10,2,0.0000,1000,169,0.2
nmlrs,31,10,3,0.0005,1000,185,0.2
nmlrs,31,10,4,0.0000,1000,202,0.2
nmlrs,31,10,5,0.0000,1000,176,0.2
nmlrs,31,10,6,0.0005,1000,165,0.2
nmlrs,31,10,7,0.0000,1000,181,0.2
nmlrs,31,10,8,0.0000,1000,189,0.2
nmlrs,31,10,9,0.0000,1000,175,0.2
nmlrs,31,10,10,0.0000,1000,185,0.2
nmlrs,31,10,1,0.0005,1000,195,0.3
nmlrs,31,10,2,0.0000,1000,182,0.3
nmlrs,31,10,3,0.0000,1000,192,0.3
nmlrs,31,10,4,0.0000,1000,207,0.3
nmlrs,31,10,5,0.0000,1000,190,0.3
nmlrs,31,10,6,0.0005,1000,192,0.3
nmlrs,31,10,7,0.0000,1000,174,0.3
nmlrs,31,10,8,0.0005,1000,172,0.3
nmlrs,31,10,9,0.0000,1000,170,0.3
nmlrs,31,10,10,0.0000,1000,210,0.3
nmlrs,31,10,1,0.0000,1000,181,0.4
nmlrs,31,10,2,0.0000,1000,174,0.4
nmlrs,31,10,3,0.0000,1000,167,0.4
nmlrs,31,10,4,0.0005,1000,202,0.4
nmlrs,31,10,5,0.0000,1000,183,0.4
nmlrs,31,10,6,0.0000,1000,162,0.4
nmlrs,31,10,7,0.0000,1000,197,0.4
nmlrs,31,10,8,0.0000,1000,173,0.4
nmlrs,31,10,9,0.0000,1000,174,0.4
nmlrs,31,10,10,0.0005,1000,170,0.4
nmlrs,31,10,1,0.0000,1000,261,0.5
nmlrs,31,10,2,0.0000,1000,176,0.5
nmlrs,31,10,3,0.0000,1000,167,0.5
nmlrs,31,10,4,0.0005,1000,192,0.5
nmlrs,31,10,5,0.0000,1000,177,0.5
nmlrs,31,10,6,0.0000,1000,174,0.5
nmlrs,31,10,7,0.0000,1000,165,0.5
nmlrs,31,10,8,0.0000,1000,173,0.5
nmlrs,31,10,9,0.0005,1000,224,0.5
nmlrs,31,10,10,0.0000,1000,165,0.5
nmlrs,31,10,1,0.0000,1000,161,0.6
nmlrs,31,10,2,0.0000,1000,167,0.6
nmlrs,31,10,3,0.0005,1000,242,0.6
nmlrs,31,10,4,0.0000,1000,174,0.6
nmlrs,31,10,5,0.0000,1000,175,0.6
nmlrs,31,10,6,0.0000,1000,179,0.6
nmlrs,31,10,7,0.0005,1000,172,0.6
nmlrs,31,10,8,0.0000,1000,168,0.6
nmlrs,31,10,9,0.0000,1000,163,0.6
nmlrs,31,10,10,0.0005,1000,179,0.6
nmlrs,31,10,1,0.0000,1000,170,0.7
nmlrs,31,10,2,0.0000,1000,198,0.7
nmlrs,31,10,3,0.0000,1000,196,0.7
nmlrs,31,10,4,0.0000,1000,231,0.7
nmlrs,31,10,5,0.0005,1000,212,0.7
nmlrs,31,10,6,0.0000,1000,187,0.7
nmlrs,31,10,7,0.0000,1000,172,0.7
nmlrs,31,10,8,0.0000,1000,190,0.7
nmlrs,31,10,9,0.0000,1000,179,0.7
nmlrs,31,10,10,0.0000,1000,179,0.7
nmlrs,31,10,1,0.0000,1000,204,0.8
nmlrs,31,10,2,0.0000,1000,211,0.8
nmlrs,31,10,3,0.0005,1000,193,0.8
nmlrs,31,10,4,0.0000,1000,162,0.8
nmlrs,31,10,5,0.0000,1000,165,0.8
nmlrs,31,10,6,0.0000,1000,189,0.8
nmlrs,31,10,7,0.0005,1000,187,0.8
nmlrs,31,10,8,0.0000,1000,184,0.8
nmlrs,31,10,9,0.0000,1000,277,0.8
nmlrs,31,10,10,0.0005,1000,172,0.8
nmlrs,31,10,1,0.0000,1000,160,0.9
nmlrs,31,10,2,0.0000,1000,179,0.9
nmlrs,31,10,3,0.0000,1000,176,0.9
nmlrs,31,10,4,0.0005,1000,205,0.9
nmlrs,31,10,5,0.0000,1000,177,0.9
nmlrs,31,10,6,0.0000,1000,181,0.9
nmlrs,31,10,7,0.0005,1000,177,0.9
nmlrs,31,10,8,0.0005,1000,216,0.9
nmlrs,31,10,9,0.0000,1000,189,0.9
nmlrs,31,10,10,0.0000,1000,271,0.9
nmlrs,100,10,1,0.0000,1000,718,0.1
nmlrs,100,10,2,0.0005,1000,641,0.1
nmlrs,100,10,3,0.0000,1000,648,0.1
nmlrs,100,10,4,0.0000,1000,587,0.1
nmlrs,100,10,5,0.0005,1000,584,0.1
nmlrs,100,10,6,0.0000,1000,583,0.1
nmlrs,100,10,7,0.0005,1000,595,0.1
nmlrs,100,10,8,0.0000,1000,637,0.1
nmlrs,100,10,9,0.0000,1000,679,0.1
nmlrs,100,10,10,0.0005,1000,589,0.1
nmlrs,100,10,1,0.0000,1000,688,0.2
nmlrs,100,10,2,0.0005,1000,601,0.2
nmlrs,100,10,3,0.0000,1000,628,0.2
nmlrs,100,10,4,0.0000,1000,590,0.2
nmlrs,100,10,5,0.0000,1000,618,0.2
nmlrs,100,10,6,0.0000,1000,597,0.2
nmlrs,100,10,7,0.0005,1000,594,0.2
nmlrs,100,10,8,0.0000,1000,588,0.2
nmlrs,100,10,9,0.0000,1000,625,0.2
nmlrs,100,10,10,0.0005,1000,599,0.2
nmlrs,100,10,1,0.0000,1000,580,0.3
nmlrs,100,10,2,0.0000,1000,568,0.3
nmlrs,100,10,3,0.0005,1000,577,0.3
nmlrs,100,10,4,0.0000,1000,743,0.3
nmlrs,100,10,5,0.0005,1000,581,0.3
nmlrs,100,10,6,0.0000,1000,584,0.3
nmlrs,100,10,7,0.0000,1000,588,0.3
nmlrs,100,10,8,0.0005,1000,604,0.3
nmlrs,100,10,9,0.0000,1000,635,0.3
nmlrs,100,10,10,0.0000,1000,597,0.3
nmlrs,100,10,1,0.0005,1000,594,0.4
nmlrs,100,10,2,0.0000,1000,579,0.4
nmlrs,100,10,3,0.0005,1000,568,0.4
nmlrs,100,10,4,0.0000,1000,644,0.4
nmlrs,100,10,5,0.0000,1000,754,0.4
nmlrs,100,10,6,0.0000,1000,619,0.4
nmlrs,100,10,7,0.0000,1000,675,0.4
nmlrs,100,10,8,0.0005,1000,599,0.4
nmlrs,100,10,9,0.0005,1000,573,0.4
nmlrs,100,10,10,0.0000,1000,649,0.4
nmlrs,100,10,1,0.0000,1000,632,0.5
nmlrs,100,10,2,0.0000,1000,586,0.5
nmlrs,100,10,3,0.0005,1000,582,0.5
nmlrs,100,10,4,0.0000,1000,569,0.5
nmlrs,100,10,5,0.0005,1000,603,0.5
nmlrs,100,10,6,0.0000,1000,590,0.5
nmlrs,100,10,7,0.0000,1000,572,0.5
nmlrs,100,10,8,0.0000,1000,679,0.5
nmlrs,100,10,9,0.0000,1000,671,0.5
nmlrs,100,10,10,0.0005,1000,566,0.5
nmlrs,100,10,1,0.0000,1000,602,0.6
nmlrs,100,10,2,0.0005,1000,604,0.6
nmlrs,100,10,3,0.0000,1000,657,0.6
nmlrs,100,10,4,0.0000,1000,631,0.6
nmlrs,100,10,5,0.0000,1000,672,0.6
nmlrs,100,10,6,0.0000,1000,595,0.6
nmlrs,100,10,7,0.0005,1000,570,0.6
nmlrs,100,10,8,0.0000,1000,600,0.6
nmlrs,100,10,9,0.0000,1000,698,0.6
nmlrs,100,10,10,0.0005,1000,575,0.6
nmlrs,100,10,1,0.0000,1000,678,0.7
nmlrs,100,10,2,0.0000,1000,572,0.7
nmlrs,100,10,3,0.0000,1000,573,0.7
nmlrs,100,10,4,0.0000,1000,718,0.7
nmlrs,100,10,5,0.0005,1000,574,0.7
nmlrs,100,10,6,0.0000,1000,584,0.7
nmlrs,100,10,7,0.0005,1000,646,0.7
nmlrs,100,10,8,0.0000,1000,638,0.7
nmlrs,100,10,9,0.0005,1000,677,0.7
nmlrs,100,10,10,0.0000,1000,569,0.7
nmlrs,100,10,1,0.0000,1000,566,0.8
nmlrs,100,10,2,0.0005,1000,582,0.8
nmlrs,100,10,3,0.0000,1000,583,0.8
nmlrs,100,10,4,0.0005,1000,641,0.8
nmlrs,100,10,5,0.0000,1000,660,0.8
nmlrs,100,10,6,0.0005,1000,565,0.8
nmlrs,100,10,7,0.0000,1000,570,0.8
nmlrs,100,10,8,0.0000,1000,578,0.8
nmlrs,100,10,9,0.0010,1000,564,0.8
nmlrs,100,10,10,0.0000,1000,577,0.8
nmlrs,100,10,1,0.0000,1000,655,0.9
nmlrs,100,10,2,0.0000,1000,654,0.9
nmlrs,100,10,3,0.0000,1000,572,0.9
nmlrs,100,10,4,0.0016,1000,627,0.9
nmlrs,100,10,5,0.0000,1000,604,0.9
nmlrs,100,10,6,0.0000,1000,565,0.9
nmlrs,100,10,7,0.0011,1000,575,0.9
nmlrs,100,10,8,0.0000,1000,614,0.9
nmlrs,100,10,9,0.0000,1000,605,0.9
nmlrs,100,10,10,0.0000,1000,684,0.9
nmlrs,89,20,1,0.0000,1000,331,0.1
nmlrs,89,20,2,0.0000,1000,303,0.1
nmlrs,89,20,3,0.0000,1000,296,0.1
nmlrs,89,20,4,0.0000,1000,296,0.1
nmlrs,89,20,5,0.0000,1000,343,0.1
nmlrs,89,20,6,0.0000,1000,316,0.1
nmlrs,89,20,7,0.0000,1000,349,0.1
nmlrs,89,20,8,0.0000,1000,307,0.1
nmlrs,89,20,9,0.0000,1000,327,0.1
nmlrs,89,20,10,0.0000,1000,306,0.1
nmlrs,89,20,1,0.0000,1000,315,0.2
nmlrs,89,20,2,0.0000,1000,286,0.2
nmlrs,89,20,3,0.0000,1000,302,0.2
nmlrs,89,20,4,0.0000,1000,270,0.2
nmlrs,89,20,5,0.0000,1000,279,0.2
nmlrs,89,20,6,0.0000,1000,466,0.2
nmlrs,89,20,7,0.0000,1000,294,0.2
nmlrs,89,20,8,0.0000,1000,286,0.2
nmlrs,89,20,9,0.0000,1000,321,0.2
nmlrs,89,20,10,0.0000,1000,363,0.2
nmlrs,89,20,1,0.0000,1000,419,0.3
nmlrs,89,20,2,0.0000,1000,355,0.3
nmlrs,89,20,3,0.0000,1000,323,0.3
nmlrs,89,20,4,0.0000,1000,317,0.3
nmlrs,89,20,5,0.0000,1000,295,0.3
nmlrs,89,20,6,0.0000,1000,372,0.3
nmlrs,89,20,7,0.0000,1000,303,0.3
nmlrs,89,20,8,0.0000,1000,355,0.3
nmlrs,89,20,9,0.0000,1000,274,0.3
nmlrs,89,20,10,0.0000,1000,285,0.3
nmlrs,89,20,1,0.0000,1000,312,0.4
nmlrs,89,20,2,0.0000,1000,291,0.4
nmlrs,89,20,3,0.0000,1000,291,0.4
nmlrs,89,20,4,0.0000,1000,373,0.4
nmlrs,89,20,5,0.0000,1000,387,0.4
nmlrs,89,20,6,0.0000,1000,391,0.4
nmlrs,89,20,7,0.0000,1000,441,0.4
nmlrs,89,20,8,0.0000,1000,271,0.4
nmlrs,89,20,9,0.0000,1000,305,0.4
nmlrs,89,20,10,0.0000,1000,290,0.4
nmlrs,89,20,1,0.0053,1000,319,0.5
nmlrs,89,20,2,0.0000,1000,288,0.5
nmlrs,89,20,3,0.0000,1000,329,0.5
nmlrs,89,20,4,0.0000,1000,275,0.5
nmlrs,89,20,5,0.0000,1000,281,0.5
nmlrs,89,20,6,0.0000,1000,286,0.5
nmlrs,89,20,7,0.0000,1000,303,0.5
nmlrs,89,20,8,0.0000,1000,294,0.5
nmlrs,89,20,9,0.0020,1000,366,0.5
nmlrs,89,20,10,0.0000,1000,345,0.5
nmlrs,89,20,1,0.0000,1000,368,0.6
nmlrs,89,20,2,0.0000,1000,379,0.6
nmlrs,89,20,3,0.0000,1000,401,0.6
nmlrs,89,20,4,0.0000,1000,341,0.6
nmlrs,89,20,5,0.0000,1000,344,0.6
nmlrs,89,20,6,0.0000,1000,301,0.6
nmlrs,89,20,7,0.0000,1000,306,0.6
nmlrs,89,20,8,0.0000,1000,270,0.6
nmlrs,89,20,9,0.0000,1000,393,0.6
nmlrs,89,20,10,0.0000,1000,310,0.6
nmlrs,89,20,1,0.0000,1000,330,0.7
nmlrs,89,20,2,0.0000,1000,332,0.7
nmlrs,89,20,3,0.0000,1000,325,0.7
nmlrs,89,20,4,0.0000,1000,301,0.7
nmlrs,89,20,5,0.0030,1000,260,0.7
nmlrs,89,20,6,0.0000,1000,387,0.7
nmlrs,89,20,7,0.0000,1000,281,0.7
nmlrs,89,20,8,0.0000,1000,282,0.7
nmlrs,89,20,9,0.0000,1000,291,0.7
nmlrs,89,20,10,0.0000,1000,397,0.7
nmlrs,89,20,1,0.0000,1000,279,0.8
nmlrs,89,20,2,0.0017,1000,385,0.8
nmlrs,89,20,3,0.0000,1000,288,0.8
nmlrs,89,20,4,0.0000,1000,446,0.8
nmlrs,89,20,5,0.0000,1000,413,0.8
nmlrs,89,20,6,0.0000,1000,297,0.8
nmlrs,89,20,7,0.0000,1000,342,0.8
nmlrs,89,20,8,0.0000,1000,363,0.8
nmlrs,89,20,9,0.0000,1000,295,0.8
nmlrs,89,20,10,0.0000,1000,282,0.8
nmlrs,89,20,1,0.0000,1000,282,0.9
nmlrs,89,20,2,0.0032,1000,273,0.9
nmlrs,89,20,3,0.0000,1000,364,0.9
nmlrs,89,20,4,0.0000,1000,314,0.9
nmlrs,89,20,5,0.0000,1000,326,0.9
nmlrs,89,20,6,0.0000,1000,385,0.9
nmlrs,89,20,7,0.0000,1000,367,0.9
nmlrs,89,20,8,0.0020,1000,264,0.9
nmlrs,89,20,9,0.0000,1000,350,0.9
nmlrs,89,20,10,0.0000,1000,326,0.9
nmlrs,400,20,1,0.0000,1000,1316,0.1
nmlrs,400,20,2,0.0000,1000,1534,0.1
nmlrs,400,20,3,0.0000,1000,1292,0.1
nmlrs,400,20,4,0.0000,1000,1302,0.1
nmlrs,400,20,5,0.0000,1000,1141,0.1
nmlrs,400,20,6,0.0000,1000,1312,0.1
nmlrs,400,20,7,0.0000,1000,1113,0.1
nmlrs,400,20,8,0.0000,1000,1165,0.1
nmlrs,400,20,9,0.0000,1000,1314,0.1
