heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
monotona,31,10,1,0.0001,1000,367,0.1
monotona,31,10,2,0.0002,1000,195,0.1
monotona,31,10,3,0.0001,1000,217,0.1
monotona,31,10,4,0.0001,1000,201,0.1
monotona,31,10,5,0.0001,1000,198,0.1
monotona,31,10,6,0.0001,1000,191,0.1
monotona,31,10,7,0.0001,1000,200,0.1
monotona,31,10,8,0.0001,1000,211,0.1
monotona,31,10,9,0.0001,1000,202,0.1
monotona,31,10,10,0.0001,1000,198,0.1
monotona,31,10,1,0.0001,1000,224,0.2
monotona,31,10,2,0.0002,1000,184,0.2
monotona,31,10,3,0.0001,1000,227,0.2
monotona,31,10,4,0.0002,1000,208,0.2
monotona,31,10,5,0.0002,1000,184,0.2
monotona,31,10,6,0.0002,1000,185,0.2
monotona,31,10,7,0.0001,1000,348,0.2
monotona,31,10,8,0.0001,1000,194,0.2
monotona,31,10,9,0.0003,1000,191,0.2
monotona,31,10,10,0.0001,1000,272,0.2
monotona,31,10,1,0.0001,1000,219,0.3
monotona,31,10,2,0.0002,1000,198,0.3
monotona,31,10,3,0.0003,1000,192,0.3
monotona,31,10,4,0.0002,1000,219,0.3
monotona,31,10,5,0.0003,1000,196,0.3
monotona,31,10,6,0.0003,1000,189,0.3
monotona,31,10,7,0.0009,1000,192,0.3
monotona,31,10,8,0.0003,1000,187,0.3
monotona,31,10,9,0.0003,1000,187,0.3
monotona,31,10,10,0.0002,1000,196,0.3
monotona,31,10,1,0.0001,1000,265,0.4
monotona,31,10,2,0.0003,1000,187,0.4
monotona,31,10,3,0.0003,1000,186,0.4
monotona,31,10,4,0.0001,1000,195,0.4
monotona,31,10,5,0.0002,1000,203,0.4
monotona,31,10,6,0.0002,1000,212,0.4
monotona,31,10,7,0.0002,1000,194,0.4
monotona,31,10,8,0.0002,1000,187,0.4
monotona,31,10,9,0.0002,1000,192,0.4
monotona,31,10,10,0.0003,1000,187,0.4
monotona,31,10,1,0.0004,1000,187,0.5
monotona,31,10,2,0.0004,1000,195,0.5
monotona,31,10,3,0.0002,1000,189,0.5
monotona,31,10,4,0.0004,1000,185,0.5
monotona,31,10,5,0.0001,1000,205,0.5
monotona,31,10,6,0.0001,1000,196,0.5
monotona,31,10,7,0.0001,1000,182,0.5
monotona,31,10,8,0.0001,1000,199,0.5
monotona,31,10,9,0.0001,1000,194,0.5
monotona,31,10,10,0.0001,1000,190,0.5
monotona,31,10,1,0.0001,1000,191,0.6
monotona,31,10,2,0.0001,1000,196,0.6
monotona,31,10,3,0.0001,1000,191,0.6
monotona,31,10,4,0.0001,1000,201,0.6
monotona,31,10,5,0.0003,1000,273,0.6
monotona,31,10,6,0.0003,1000,240,0.6
monotona,31,10,7,0.0003,1000,185,0.6
monotona,31,10,8,0.0003,1000,189,0.6
monotona,31,10,9,0.0002,1000,204,0.6
monotona,31,10,10,0.0001,1000,210,0.6
monotona,31,10,1,0.0001,1000,203,0.7
monotona,31,10,2,0.0002,1000,180,0.7
monotona,31,10,3,0.0001,1000,192,0.7
monotona,31,10,4,0.0002,1000,189,0.7
monotona,31,10,5,0.0003,1000,192,0.7
monotona,31,10,6,0.0004,1000,193,0.7
monotona,31,10,7,0.0003,1000,190,0.7
monotona,31,10,8,0.0003,1000,198,0.7
monotona,31,10,9,0.0003,1000,184,0.7
monotona,31,10,10,0.0003,1000,187,0.7
monotona,31,10,1,0.0003,1000,201,0.8
monotona,31,10,2,0.0002,1000,197,0.8
monotona,31,10,3,0.0001,1000,205,0.8
monotona,31,10,4,0.0002,1000,207,0.8
monotona,31,10,5,0.0004,1000,185,0.8
monotona,31,10,6,0.0001,1000,224,0.8
monotona,31,10,7,0.0005,1000,193,0.8
monotona,31,10,8,0.0003,1000,226,0.8
monotona,31,10,9,0.0002,1000,197,0.8
monotona,31,10,10,0.0002,1000,194,0.8
monotona,31,10,1,0.0002,1000,202,0.9
monotona,31,10,2,0.0001,1000,275,0.9
monotona,31,10,3,0.0003,1000,192,0.9
monotona,31,10,4,0.0002,1000,204,0.9
monotona,31,10,5,0.0001,1000,343,0.9
monotona,31,10,6,0.0001,1000,221,0.9
monotona,31,10,7,0.0004,1000,229,0.9
monotona,31,10,8,0.0002,1000,236,0.9
monotona,31,10,9,0.0002,1000,215,0.9
monotona,31,10,10,0.0002,1000,263,0.9
monotona,100,10,1,0.0001,1000,745,0.1
monotona,100,10,2,0.0002,1000,512,0.1
monotona,100,10,3,0.0003,1000,536,0.1
monotona,100,10,4,0.0003,1000,557,0.1
monotona,100,10,5,0.0001,1000,577,0.1
monotona,100,10,6,0.0002,1000,551,0.1
monotona,100,10,7,0.0003,1000,524,0.1
monotona,100,10,8,0.0002,1000,573,0.1
monotona,100,10,9,0.0001,1000,568,0.1
monotona,100,10,10,0.0001,1000,681,0.1
monotona,100,10,1,0.0002,1000,563,0.2
monotona,100,10,2,0.0002,1000,526,0.2
monotona,100,10,3,0.0003,1000,532,0.2
monotona,100,10,4,0.0002,1000,536,0.2
monotona,100,10,5,0.0002,1000,558,0.2
monotona,100,10,6,0.0003,1000,557,0.2
monotona,100,10,7,0.0003,1000,531,0.2
monotona,100,10,8,0.0002,1000,539,0.2
monotona,100,10,9,0.0001,1000,573,0.2
monotona,100,10,10,0.0001,1000,576,0.2
monotona,100,10,1,0.0003,1000,528,0.3
monotona,100,10,2,0.0003,1000,517,0.3
monotona,100,10,3,0.0003,1000,641,0.3
monotona,100,10,4,0.0001,1000,585,0.3
monotona,100,10,5,0.0001,1000,606,0.3
monotona,100,10,6,0.0003,1000,534,0.3
monotona,100,10,7,0.0001,1000,649,0.3
monotona,100,10,8,0.0002,1000,558,0.3
monotona,100,10,9,0.0004,1000,545,0.3
monotona,100,10,10,0.0002,1000,614,0.3
monotona,100,10,1,0.0003,1000,595,0.4
monotona,100,10,2,0.0005,1000,522,0.4
monotona,100,10,3,0.0001,1000,554,0.4
monotona,100,10,4,0.0004,1000,526,0.4
monotona,100,10,5,0.0002,1000,567,0.4
monotona,100,10,6,0.0004,1000,512,0.4
monotona,100,10,7,0.0001,1000,604,0.4
monotona,100,10,8,0.0003,1000,574,0.4
monotona,100,10,9,0.0003,1000,545,0.4
monotona,100,10,10,0.0002,1000,561,0.4
monotona,100,10,1,0.0002,1000,519,0.5
monotona,100,10,2,0.0006,1000,512,0.5
monotona,100,10,3,0.0002,1000,637,0.5
monotona,100,10,4,0.0002,1000,571,0.5
monotona,100,10,5,0.0002,1000,584,0.5
monotona,100,10,6,0.0002,1000,536,0.5
monotona,100,10,7,0.0004,1000,591,0.5
monotona,100,10,8,0.0002,1000,522,0.5
monotona,100,10,9,0.0003,1000,524,0.5
